Trip;Date;Departure;CS Centrumzijde;Vaartscherijn;Stadion Galgenwaard;De Kromme Rijn;Padualaan;Heidelberglaan;UMC;WKZ;P+R Uithof
R1311;2-9-2015;20:07;0;1;5;0;0;4;0,00;0,00;0,00
R1313;2-9-2015;20:22;0;4;0;0;0;1;0,00;0,00;0,00
R1315;2-9-2015;20:37;0;2;0;1;1;0;0,00;0,00;0,00
R1317;2-9-2015;20:52;0;6;0;4;1;4;0,00;0,00;0,00
R1319;2-9-2015;21:07;0;5;1;0;0;1;0,00;0,00;0,00
R1001;3-9-2015;6:10;0;0;1;0;0;1;1,33;1,33;1,33
R1003;3-9-2015;6:30;0;3;3;0;1;4;6,00;6,00;6,00
R1005;3-9-2015;6:42;0;16;18;4;3;4;1,67;1,67;1,67
R1007;3-9-2015;6:55;0;15;6;6;2;1;4,67;4,67;4,67
R1009;3-9-2015;7:05;0;0;0;0;0;0;0,00;0,00;0,00
R1011;3-9-2015;7:14;0;4;6;0;2;9;3,33;3,33;3,33
R1013;3-9-2015;7:21;0;5;13;4;4;18;3,67;3,67;3,67
R1015;3-9-2015;7:26;0;0;0;0;0;0;0,00;0,00;0,00
R1017;3-9-2015;7:31;0;5;8;7;12;55;7,33;7,33;7,33
R1019;3-9-2015;7:36;0;5;14;1;7;14;2,33;2,33;2,33
R1021;3-9-2015;7:40;0;8;7;0;12;19;5,00;5,00;5,00
R1023;3-9-2015;7:44;0;4;18;3;34;37;5,00;5,00;5,00
R1025;3-9-2015;7:48;0;5;8;5;103;42;3,00;3,00;3,00
R1027;3-9-2015;7:52;0;15;15;4;116;36;6,00;6,00;6,00
R1029;3-9-2015;7:57;0;18;2;0;24;31;2,33;2,33;2,33
R1031;3-9-2015;8:01;0;1;3;0;24;2;0,33;0,33;0,33
R1033;3-9-2015;8:05;0;28;8;11;102;62;3,33;3,33;3,33
R1035;3-9-2015;8:09;0;2;3;4;49;25;1,67;1,67;1,67
R1037;3-9-2015;8:14;0;1;0;0;1;1;0,00;0,00;0,00
R1039;3-9-2015;8:18;0;26;4;26;118;110;51,33;51,33;51,33
R1041;3-9-2015;8:22;0;22;6;3;52;61;25,67;25,67;25,67
R1043;3-9-2015;8:26;0;46;9;14;97;174;38,67;38,67;38,67
R1045;3-9-2015;8:30;0;24;14;10;132;161;6,33;6,33;6,33
R1047;3-9-2015;8:35;0;43;7;4;51;80;36,00;36,00;36,00
R1049;3-9-2015;8:39;0;0;0;1;3;7;1,33;1,33;1,33
R1051;3-9-2015;8:43;0;30;5;7;53;57;1,33;1,33;1,33
R1053;3-9-2015;8:47;0;0;0;0;11;19;1,00;1,00;1,00
R1055;3-9-2015;8:52;0;30;10;0;32;35;1,00;1,00;1,00
R1057;3-9-2015;8:56;0;19;0;0;0;0;27,33;27,33;27,33
R1059;3-9-2015;9:00;0;34;4;0;12;29;3,00;3,00;3,00
R1061;3-9-2015;9:05;0;71;14;4;64;65;4,00;4,00;4,00
R1063;3-9-2015;9:09;0;23;0;0;1;0;44,33;44,33;44,33
R1065;3-9-2015;9:14;0;37;8;2;81;28;7,33;7,33;7,33
R1067;3-9-2015;9:19;0;13;1;3;15;50;4,33;4,33;4,33
R1071;3-9-2015;9:28;0;18;8;5;51;73;3,67;3,67;3,67
R1077;3-9-2015;9:43;0;7;0;1;1;1;24,33;24,33;24,33
R1081;3-9-2015;9:52;0;9;4;12;61;50;1,67;1,67;1,67
