Stop;Direction;From;To;PassIn;PassOut;BusIn;BusOut;BusInPercentage;BusOutPercentage;;24u_entry;24u_exit;7-9_entry;7-9_exit;16-18_entry;16-18_exit
Vaartscherijn;0;18;19;52,3317647059;116,2344338176;50,95;46,28571429;0,04;0,0888482633;;74,1764705882;32;85,5;29,5;133,5;115,5
Centraal Station Centrumzijde;0;18;19;0;1097,8892353948;0;437,1904762;0;0,839213894;;0;1244,9411764706;0;404,5;0;3870,5
P+R Uithof;0;19;20;184,7914043044;20,998555286;53,48;3,952380952;0,1412460714;0,016051054;;0,8823529412;0;0,5;0;3,5;0
WKZ;0;19;20;184,7914043044;20,998555286;53,48;3,952380952;0,1412460714;0,016051054;;59,7058823529;0;151,5;0;132,5;0
UMC;0;19;20;184,7914043044;20,998555286;53,48;3,952380952;0,1412460714;0,016051054;;156,4705882353;0;39;0;598,5;0
Heidelberglaan;0;19;20;382,5403210646;0,7589839268;110,71;0,142857143;0,2923962708;0,0005801586;;537,5294117647;0;77,5;0;1650;0
Padualaan;0;19;20;183,8205427472;0,7468517385;60,05;0,142857143;0,1405039893;0,0005708849;;403,2352941176;13,8823529412;49,5;51,5;1233,5;1,5
Kromme Rijn;0;19;20;26,5024321431;8,3488231845;7,67;1,571428571;0,0202572432;0,0063817443;;40,6470588235;1,8235294118;70;0,5;127;2,5
Galgenwaard;0;19;20;46,8889184071;25,046469559;13,57;4,714285714;0,035839738;0,019145233;;35,6470588235;15,5882352941;26;13,5;146;33,5
Vaartscherijn;0;19;20;90,495266992;127,2563049259;26,19;23,95238095;0,0691704302;0,0972732547;;74,1764705882;32;85,5;29,5;133,5;115,5
Centraal Station Centrumzijde;0;19;20;0;1083,0700627365;0;203,8571429;0;0,827886289;;0;1244,9411764706;0;404,5;0;3870,5
P+R Uithof;0;20;21;230,6222521835;33,3106288974;48,76;4;0,1762770688;0,0254622613;;0,8823529412;0;0,5;0;3,5;0
WKZ;0;20;21;230,6222521835;33,3106288974;48,76;4;0,1762770688;0,0254622613;;59,7058823529;0;151,5;0;132,5;0
UMC;0;20;21;230,6222521835;33,3106288974;48,76;4;0,1762770688;0,0254622613;;156,4705882353;0;39;0;598,5;0
Heidelberglaan;0;20;21;213,5005837482;0,3965551091;45,14;0,047619048;0,163190051;0,0003031222;;537,5294117647;0;77,5;0;1650;0
Padualaan;0;20;21;209,3877768142;1,1673723638;46,9;0,142857143;0,16004641;0,000892326;;403,2352941176;13,8823529412;49,5;51,5;1233,5;1,5
Kromme Rijn;0;20;21;22,08789823;3,9655510576;4,67;0,476190476;0,016882976;0,0030312216;;40,6470588235;1,8235294118;70;0,5;127;2,5
Galgenwaard;0;20;21;42,8041710882;16,6553144487;9,05;2;0,0327175446;0,0127311306;;35,6470588235;15,5882352941;26;13,5;146;33,5
Vaartscherijn;0;20;21;116,2097771975;118,1734215607;24,57;14,19047619;0,0888254221;0,0903304032;;74,1764705882;32;85,5;29,5;133,5;115,5
Centraal Station Centrumzijde;0;20;21;0;1067,9228999302;0;128,2380952;0;0,8163079721;;0;1244,9411764706;0;404,5;0;3870,5
P+R Uithof;0;21;22;188,3897664587;49,5603268364;16,43;3;0,1439964943;0,0378833434;;0,8823529412;0;0,5;0;3,5;0
WKZ;0;21;22;188,3897664587;49,5603268364;16,43;3;0,1439964943;0,0378833434;;59,7058823529;0;151,5;0;132,5;0
UMC;0;21;22;188,3897664587;49,5603268364;16,43;3;0,1439964943;0,0378833434;;156,4705882353;0;39;0;598,5;0
Heidelberglaan;0;21;22;222,7883848018;0,7866718608;19,43;0,047619048;0,17028922;0,0006013229;;537,5294117647;0;77,5;0;1650;0
Padualaan;0;21;22;133,6083788617;0,7866718608;24,52;0,047619048;0,102124115;0,0006013229;;403,2352941176;13,8823529412;49,5;51,5;1233,5;1,5
Kromme Rijn;0;21;22;21,3271433727;3,1466874103;1,86;0,19047619;0,0163014899;0,0024052916;;40,6470588235;1,8235294118;70;0,5;127;2,5
Galgenwaard;0;21;22;56,1844099603;22,8134837826;4,9;1,380952381;0,0429447853;0,0174383644;;35,6470588235;15,5882352941;26;13,5;146;33,5
Vaartscherijn;0;21;22;161,6735062123;91,2539351304;14,1;5,523809524;0,1235758107;0,0697534576;;74,1764705882;32;85,5;29,5;133,5;115,5
Centraal Station Centrumzijde;0;21;22;0;1040,7668635636;0;63;0;0,7955502105;;0;1244,9411764706;0;404,5;0;3870,5
Centraal Station Centrumzijde;1;6;7;1151,3430958486;0;126;0;0,8599285018;0;;1176,1176470588;0;4061,5;0;1066;0
Vaartscherijn;1;6;7;154,9048155951;31,361388004;16,95238095;22;0,1156971076;0,0234256161;;137,4705882353;102,0588235294;478;147;161;147,5
Galgenwaard;1;6;7;19,1455390066;41,3400114598;2,095238095;29;0,0142996425;0,0308792212;;21,1176470588;75,7647058824;90;152,5;13;114
Kromme Rijn;1;6;7;13,0537766008;14,1194127814;1,428571429;9,904761905;0,0097497563;0,0105465977;;2,7647058824;61,1176470588;12,5;116;2;146,5
Padualaan;1;6;7;0,0850408005;18,7353746477;0,047619048;13,14285714;6,35162606700782E-05;0,0139945239;;0,5882352941;568,9411764706;0;2275,5;4,5;359
Heidelberglaan;1;6;7;0;31,2935062084;0;21,95238095;0;0,0233749113;;0,4705882353;340,5294117647;0;1265,5;3,5;250,5
UMC;1;6;7;0;400,6383375937;0;281,047619;0;0,29925971;;0,3529411765;151,5882352941;0;549;2,5;161
WKZ;1;6;7;0;400,6383375937;0;281,047619;0;0,29925971;;0;37,8823529412;0;133,5;0;73,5
P+R Uithof;1;6;7;0;400,6383375937;0;281,047619;0;0,29925971;;0;0,8823529412;0;3,5;0;0,5
Centraal Station Centrumzijde;1;7;8;1041,2981374357;0;603,1904762;0;0,7777368453;0;;1176,1176470588;0;4061,5;0;1066;0
Vaartscherijn;1;7;8;275,1420909733;36,6416323445;159,3809524;83,66666667;0,2055013201;0,0273697328;;137,4705882353;102,0588235294;478;147;161;147,5
Galgenwaard;1;7;8;17,838611806;38,6019700995;10,33333333;88,14285714;0,0133235095;0,0288340213;;21,1176470588;75,7647058824;90;152,5;13;114
Kromme Rijn;1;7;8;3,4526345442;9,5722875627;2;21,85714286;0,0025787438;0,0071500896;;2,7647058824;61,1176470588;12,5;116;2;146,5
Padualaan;1;7;8;0,2024204333;72,3030958093;0,523809524;165,0952381;0,0001511861;0,0540073214;;0,5882352941;568,9411764706;0;2275,5;4,5;359
Heidelberglaan;1;7;8;0,2466167534;98,2254344603;0,142857143;224,2857143;0,000184196;0,0733702002;;0,4705882353;340,5294117647;0;1265,5;3,5;250,5
UMC;1;7;8;0;361,140095202;0;824,6190476;0;0,2697562115;;0,3529411765;151,5882352941;0;549;2,5;161
WKZ;1;7;8;0;361,140095202;0;824,6190476;0;0,2697562115;;0;37,8823529412;0;133,5;0;73,5
P+R Uithof;1;7;8;0;361,140095202;0;824,6190476;0;0,2697562115;;0;0,8823529412;0;3,5;0;0,5
Centraal Station Centrumzijde;1;8;9;1244,7404654521;0;2689,095238;0;0,9296862138;0;;1176,1176470588;0;4061,5;0;1066;0
Vaartscherijn;1;8;9;76,9269930554;97,5414353789;166,1904762;382,2857143;0,0574561259;0,0728592821;;137,4705882353;102,0588235294;478;147;161;147,5
Galgenwaard;1;8;9;12,497881106;26,6209871498;27;104,3333333;0,0093345626;0,0198847393;;21,1176470588;75,7647058824;90;152,5;13;114
Kromme Rijn;1;8;9;3,063854451;21,7852259125;6,619047619;85,38095238;0,0022883672;0,0162726324;;2,7647058824;61,1176470588;12,5;116;2;146,5
Padualaan;1;8;9;0,6794031223;192,3976867302;2,047619048;754,047619;0,0005074405;0,1437128465;;0,5882352941;568,9411764706;0;2275,5;4,5;359
Heidelberglaan;1;8;9;0,7053477874;215,3128769772;1,523809524;843,8571429;0,0005268183;0,160829514;;0,4705882353;340,5294117647;0;1265,5;3,5;250,5
UMC;1;8;9;0;261,7021645779;0;1025,666667;0;0,1954803286;;0,3529411765;151,5882352941;0;549;2,5;161
WKZ;1;8;9;0;261,7021645779;0;1025,666667;0;0,1954803286;;0;37,8823529412;0;133,5;0;73,5
P+R Uithof;1;8;9;0;261,7021645779;0;1025,666667;0;0,1954803286;;0;0,8823529412;0;3,5;0;0,5
Centraal Station Centrumzijde;1;9;10;1264,0815133191;0;1142,714286;0;0,9441318803;0;;1176,1176470588;0;4061,5;0;1066;0
Vaartscherijn;1;9;10;56,8907794341;127,3897828447;51,42857143;238,0952381;0,042491246;0,0951547216;;137,4705882353;102,0588235294;478;147;161;147,5
Galgenwaard;1;9;10;13,2218385507;27,567149005;11,95238095;51,52380952;0,0098752803;0,0205914817;;21,1176470588;75,7647058824;90;152,5;13;114
Kromme Rijn;1;9;10;3,0025689142;16,1275465063;2,714285714;30,14285714;0,0022425935;0,0120465878;;2,7647058824;61,1176470588;12,5;116;2;146,5
Padualaan;1;9;10;0,5202978092;182,2693013084;0,952380952;340,6666667;0,0003886061;0,1361473756;;0,5882352941;568,9411764706;0;2275,5;4,5;359
Heidelberglaan;1;9;10;0,632119771;182,8552943121;0,571428571;341,7619048;0,000472125;0,1365850874;;0,4705882353;340,5294117647;0;1265,5;3,5;250,5
UMC;1;9;10;0;267,5185439686;0;500;0;0,1998249153;;0,3529411765;151,5882352941;0;549;2,5;161
WKZ;1;9;10;0;267,5185439686;0;500;0;0,1998249153;;0;37,8823529412;0;133,5;0;73,5
P+R Uithof;1;9;10;0;267,5185439686;0;500;0;0,1998249153;;0;0,8823529412;0;3,5;0;0,5
Centraal Station Centrumzijde;1;10;11;1232,7788487735;0;1240,428571;0;0,9207521826;0;;1176,1176470588;0;4061,5;0;1066;0
Vaartscherijn;1;10;11;74,7741019534;95,2218434218;75,23809524;166,6666667;0,0558481496;0,0711266461;;137,4705882353;102,0588235294;478;147;161;147,5
Galgenwaard;1;10;11;20,349913826;15,0450512557;20,47619048;26,33333333;0,01519918;0,0112380101;;21,1176470588;75,7647058824;90;152,5;13;114
Kromme Rijn;1;10;11;7,950664005;36,2931254548;8;63,52380952;0,0059382843;0,0271094131;;2,7647058824;61,1176470588;12,5;116;2;146,5
Padualaan;1;10;11;1,464078051;251,1952229156;2,047619048;439,6666667;0,0010935076;0,1876320923;;0,5882352941;568,9411764706;0;2275,5;4,5;359
Heidelberglaan;1;10;11;0,9938330006;277,9389577859;1;486,4761905;0,0007422855;0,2076085189;;0,4705882353;340,5294117647;0;1265,5;3,5;250,5
