Trip;Date;Departure;CS Centrumzijde;Bleekstraat;Sterrenwijk;Rubenslaan;Stadion Galgenwaard;De Kromme Rijn;Padualaan;Heidelberglaan;AZU
R1277;2-9-2015;17:24;0;1;0;0;0;0;0;0;0
R1279;2-9-2015;17:29;3;1;0;1;0;0;0;0;0
R1281;2-9-2015;17:33;2;0;0;0;1;0;0;0;0
R1283;2-9-2015;17:37;13;1;0;0;0;0;0;0;0
R1285;2-9-2015;17:42;15;0;0;0;1;0;0;0;0
R1287;2-9-2015;17:46;18;0;0;0;0;1;0;0;0
R1289;2-9-2015;17:51;6;0;0;0;0;0;0;0;0
R1291;2-9-2015;17:56;13;1;0;0;1;0;0;0;0
R1293;2-9-2015;18:01;25;1;3;0;3;0;0;1;0
R1295;2-9-2015;18:10;13;0;0;0;1;0;0;0;0
R1297;2-9-2015;18:24;22;0;0;0;1;0;0;0;0
R1299;2-9-2015;18:39;36;0;0;0;0;0;0;0;0
R1301;2-9-2015;18:50;19;2;0;0;1;0;0;0;0
R1303;2-9-2015;19:09;30;0;2;0;0;0;0;0;0
R1305;2-9-2015;19:24;18;0;2;0;0;0;0;2;0
R1307;2-9-2015;19:37;21;0;0;1;1;0;0;0;0
R1309;2-9-2015;19:52;9;1;0;0;1;0;0;0;0
R1311;2-9-2015;20:07;10;0;0;0;0;0;0;0;0
R1313;2-9-2015;20:22;5;0;0;0;0;0;0;0;0
R1315;2-9-2015;20:37;3;0;1;0;0;0;0;0;0
R1317;2-9-2015;20:52;11;1;1;2;0;0;0;0;0
R1319;2-9-2015;21:07;7;0;0;0;0;0;0;0;0
R1001;3-9-2015;6:10;6;0;0;0;0;0;0;0;0
R1003;3-9-2015;6:30;26;1;1;0;1;0;0;0;0
R1005;3-9-2015;6:42;49;0;1;0;0;0;0;0;0
R1007;3-9-2015;6:55;38;4;0;0;1;1;0;0;0
R1009;3-9-2015;7:05;0;0;0;0;0;0;0;0;0
R1011;3-9-2015;7:14;28;1;0;1;0;0;1;0;0
R1013;3-9-2015;7:21;53;0;1;0;1;0;0;0;0
R1015;3-9-2015;7:26;0;0;0;0;0;0;0;0;0
R1017;3-9-2015;7:31;94;9;0;2;4;0;0;0;0
R1019;3-9-2015;7:36;45;0;1;2;0;0;0;0;0
R1021;3-9-2015;7:40;60;0;1;0;0;0;0;0;0
R1023;3-9-2015;7:44;108;0;1;1;0;0;1;0;0
R1025;3-9-2015;7:48;168;3;1;0;0;0;0;0;0
R1027;3-9-2015;7:52;195;1;1;1;2;4;0;0;0
R1029;3-9-2015;7:57;82;0;0;0;0;0;0;0;0
R1031;3-9-2015;8:01;26;1;0;1;1;2;0;0;0
R1033;3-9-2015;8:05;212;1;3;3;1;1;0;0;0
R1035;3-9-2015;8:09;80;2;1;3;2;0;0;0;0
R1037;3-9-2015;8:14;0;0;3;0;0;0;0;0;0
R1039;3-9-2015;8:18;423;8;2;4;1;0;0;0;0
R1041;3-9-2015;8:22;206;5;4;4;1;0;0;1;0
R1043;3-9-2015;8:26;446;3;0;3;4;0;0;0;0
R1045;3-9-2015;8:30;349;7;1;2;1;0;0;0;0
R1047;3-9-2015;8:35;275;3;1;2;11;1;0;0;0
R1049;3-9-2015;8:39;15;0;0;0;0;0;0;0;0
R1051;3-9-2015;8:43;149;1;1;3;2;0;0;0;0
R1053;3-9-2015;8:47;33;0;0;0;0;0;0;0;0
R1055;3-9-2015;8:52;103;0;6;1;0;0;0;0;0
R1057;3-9-2015;8:56;97;4;0;0;0;0;0;0;0
R1059;3-9-2015;9:00;82;2;0;1;3;0;0;0;0
R1061;3-9-2015;9:05;218;0;3;1;8;0;0;0;0
R1063;3-9-2015;9:09;156;1;0;0;0;0;0;0;0
R1065;3-9-2015;9:14;155;2;16;2;3;0;0;0;0
R1067;3-9-2015;9:19;92;2;0;0;0;1;0;0;0
R1071;3-9-2015;9:28;160;0;3;1;2;0;0;0;0
R1077;3-9-2015;9:43;82;1;0;0;0;0;0;0;0
R1081;3-9-2015;9:52;128;3;0;1;8;0;0;1;0
R1085;3-9-2015;10:02;142;0;0;0;0;4;0;0;0
R1087;3-9-2015;10:07;120;1;0;1;1;0;0;0;0
R1091;3-9-2015;10:16;0;0;0;5;0;0;0;0;0
R1093;3-9-2015;10:21;99;27;0;1;2;1;0;0;0
R1095;3-9-2015;10:26;258;0;1;1;0;0;0;0;0
R1097;3-9-2015;10:31;166;1;3;2;4;0;2;0;0
R1099;3-9-2015;10:35;1;0;0;2;1;0;0;0;0
R1101;3-9-2015;10:40;246;2;2;1;1;0;1;0;0
R1103;3-9-2015;10:45;229;0;2;2;1;1;0;0;0
R1105;3-9-2015;10:50;181;1;0;1;3;0;1;0;0
R1107;3-9-2015;10:54;67;0;0;1;0;0;0;0;0
R1109;3-9-2015;10:59;22;0;0;2;1;5;0;0;0
R1111;3-9-2015;11:04;38;1;0;2;0;0;0;0;0
R1113;3-9-2015;11:09;64;5;3;1;3;0;0;0;0
R1115;3-9-2015;11:14;2;0;0;0;0;0;0;0;0
R1117;3-9-2015;11:18;0;0;0;0;0;0;0;0;0
R1119;3-9-2015;11:23;52;1;1;1;4;0;0;0;0
R1121;3-9-2015;11:28;28;2;0;0;0;0;0;0;0
